Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Acacia courtii,Northern Brother Wattle,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia cretacea,Chalky Wattle,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia crombiei,Pink Gidgee,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia curranii,Curly-bark Wattle,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia dangarensis,,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia denticulosa,Sandpaper Wattle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia depressa,Echidna Wattle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia deuteroneura,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia enterocarpa,Jumping-jack Wattle,Endangered,Present,,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia equisetifolia,a shrub,Critically Endangered,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia eremophiloides,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia flocktoniae,Flockton Wattle,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia forrestiana,Forest's Wattle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia georgensis,Bega Wattle,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia gordonii,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia grandifolia,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia imitans,Gibson Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia kingiana,,Extinct,Extinct,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia lanuginophylla,Woolly Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia latzii,Latz's Wattle,Vulnerable,Present,,"NT, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia lauta,Tara Wattle,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia leptalea,Chinocup Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia leptoneura,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia lobulata,Chiddarcooping Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia macnuttiana,McNutt's Wattle,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia meiantha,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia menzelii,Menzel's Wattle,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Present,,"NT, QLD, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pharangites,Wongan Gully Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia phasmoides,Phantom Wattle,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pickardii,Birds Nest Wattle,Vulnerable,Present,,"NT, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia porcata,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia praemorsa,Senna Wattle,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia praetermissa,a shrub,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia prismifolia,Diels' Wattle,Extinct,Extinct,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pubifolia,Velvet Wattle,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pycnostachya,Bolivia Wattle,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia pygmaea,Dwarf Rock Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia recurvata,Recurved Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia rhamphophylla,Kundip Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia ruppii,Rupp's Wattle,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia spilleriana,Spiller's Wattle,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia unguicula,a shrub,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia vassalii,Vassal's Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia wilsonii,Wilson's Wattle,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia woodmaniorum,Woodman's Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Extinct,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Present,,SA,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Acanthophis hawkei,Plains Death Adder,Vulnerable,Present,,"NT, QLD, WA",Animalia,Chordata,Reptilia,Squamata,Elapidae,
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,
Acianthus ledwardii,,Extinct,Extinct,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Acronychia littoralis,Scented Acronychia,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Acrophyllum australe,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,
Actephila foetida,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Endemic,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Adenanthos eyrei,Toolinna Adenanthos,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Adenanthos velutinus,Velvet Woollybush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Advena campbellii,Campbell's Helicarionid Land Snail,Critically Endangered,Present,,"AET, NI",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,
Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Present,,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,
Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Present,,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,
Alectryon ramiflorus,Isis Tamarind,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina glareicola,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina thalassoscopica,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina thalassoscopica,,Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Almaleea cambagei,Torrington Pea,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Ammobium craspedioides,Yass Daisy,Vulnerable,Present,,"ACT, NSW",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Amperea xiphoclada var. pedicellata,,Extinct,Extinct,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Present,,"NSW, SA, TAS, VIC",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Amphibromus whitei,,Extinct,Extinct,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Amyema plicatula,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,
Amyema plicatula,,Endangered,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Santalales,Loranthaceae,
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Present,,"NSW, QLD, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Present,,"NT, QLD",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Present,,"NSW, NT, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Present,,NSW,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Present,,NT,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Andersonia annelsii,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,
Andersonia axilliflora,Giant Andersonia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Andersonia gracilis,Slender Andersonia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Androcalva adenothalia,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Androcalva perlaria,Pearl-like Androcalva,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Androcalva procumbens,,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Androcalva rosea,Sandy Hollow Commersonia,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Angophora inopina,Charmhaven Apple,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Present,,"ACR, OCE, WA",Animalia,Chordata,Aves,Charadriiformes,Laridae,
Antechinus argentus,Silver-headed Antechinus,Endangered,Present,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus arktos,Black-tailed Antechinus,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus bellus,Fawn Antechinus,Vulnerable,Present,,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Present,,"SA, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Anthocercis gracilis,Slender Tailflower,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Endemic,,TAS,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,
Apatophyllum olsenii,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,
Aplonis fusca,Tasman Starling,Extinct,Extinct,Norfolk Island,"AET, NSW",Animalia,Chordata,Aves,Passeriformes,Sturnidae,
Aponogeton bullosus,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Najadales,Aponogetonaceae,
Aponogeton prolifer,an aquatic herb,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Najadales,Aponogetonaceae,
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Present,,"ACT, NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Present,,"AET, ANT, HI, OCE, TAS",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Vagrant,,"SA, VIC, WA",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Present,,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,
Argyrotegium nitidulum,Shining Cudweed,Vulnerable,Present,,"NSW, TAS, VIC",Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
Aristida annua,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Aristida granitica,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Arthraxon hispidus,Hairy-joint Grass,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Asperula asthenes,Trailing Woodruff,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,Present,,"TAS, VIC",Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Aspleniaceae,
Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,Endemic,Christmas Island,"AET, CI",Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Aspleniaceae,
Asplenium pellucidum,,Vulnerable,Endemic,,QLD,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Aspleniaceae,
Asplenium wildii,,Vulnerable,Endemic,,QLD,Plantae,Polypodiophyta,Polypodiatae,Aspidiales,Aspleniaceae,
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Astelia australiana,Tall Astelia,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,
Asterolasia elegans,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Asterolasia nivea,Bindoon Starbush,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Asterolasia phebalioides,Downy Star-bush,Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Astrotricha crassifolia,Thick-leaf Star-hair,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Araliaceae,
Astrotricha roddii,,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Apiales,Araliaceae,
Atalaya brevialata,,Critically Endangered,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Atalaya collina,Yarwun Whitewood,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Atriplex infrequens,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,
Atriplex yeelirrie,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,
Austrostipa bronwenae,,Endangered,Present,,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Austrostipa jacobsiana,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Austrostipa metatoris,,Vulnerable,Present,,"NSW, SA, VIC",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Austrostipa wakoolica,,Endangered,Present,,"NSW, VIC",Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Critically Endangered,Present,,"AET, TAS",Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,
Baeckea kandos,a shrub,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Balaenoptera borealis,Sei Whale,Vulnerable,Present,,"AET, ANT, CI, CKI, CSI, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera musculus,Blue Whale,Endangered,Present,,"ACR, AET, ANT, CI, CKI, CSI, HI, NI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera physalus,Fin Whale,Vulnerable,Present,,"AET, ANT, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Ballantinia antipoda,Southern Shepherd's Purse,Endangered,Extinct,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,
Ballantinia antipoda,Southern Shepherd's Purse,Endangered,Present,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
